title,company,seniority_level,max_salary,company_size,work_type,company_rating,applies
DevOps Engineer,Google,Senior,147030,51-200,Remote,4.1,45
UX Designer,Enterprise Corp,Senior,142367,1001-5000,Remote,4.4,2
Marketing Manager,Apple,Mid,92292,201-1000,Remote,3.9,918
DevOps Engineer,Apple,VP,325023,1001-5000,Remote,3.9,282
UX Designer,Microsoft,Mid,89411,201-1000,Hybrid,3.9,317
Business Analyst,Airbnb,Senior,108564,51-200,On-site,3.8,27
HR Manager,Meta,Senior,116327,51-200,On-site,3.5,3304
Sales Representative,Meta,Mid,76364,201-1000,Hybrid,2.9,26
Backend Developer,Airbnb,Lead,156419,1001-5000,On-site,3.8,138
Financial Analyst,Startup A,Entry,53658,201-1000,Remote,4.5,54
DevOps Engineer,Intel,Senior,176110,1001-5000,Remote,3.8,289
Frontend Developer,Netflix,Senior,175501,5001+,Remote,4.3,36
UX Designer,Amazon,Entry,69675,1-50,Hybrid,3.6,255
HR Manager,Enterprise Corp,Mid,82806,51-200,Hybrid,2.9,1
Operations Manager,Startup A,Lead,153309,5001+,On-site,3.9,47
HR Manager,Salesforce,Lead,123937,201-1000,Hybrid,3.7,84
Data Scientist,Uber,Entry,84769,51-200,Hybrid,3.9,86
Software Engineer,Startup A,Entry,67712,1001-5000,On-site,3.8,1
Frontend Developer,Mid-size Corp,Senior,144399,201-1000,On-site,2.6,3
Marketing Manager,Amazon,Mid,85923,1-50,Hybrid,4.7,19
Frontend Developer,Netflix,Entry,78748,201-1000,On-site,4.0,3961
Product Manager,Amazon,Entry,95965,51-200,Hybrid,4.2,435
Marketing Manager,Salesforce,Mid,106037,201-1000,On-site,3.8,19
Machine Learning Engineer,IBM,VP,371787,1-50,Hybrid,3.9,90
Operations Manager,Salesforce,Mid,81062,5001+,Hybrid,3.7,38
DevOps Engineer,Meta,Senior,169249,5001+,Remote,3.7,78
Marketing Manager,Google,VP,254830,201-1000,Remote,3.8,36
Backend Developer,IBM,Mid,123109,1001-5000,Remote,3.0,35
Business Analyst,Salesforce,Mid,88974,5001+,Remote,4.2,44
Marketing Manager,Uber,Senior,129025,201-1000,Remote,4.3,11
Data Scientist,Google,Senior,194556,1-50,Remote,3.4,42
Data Scientist,Startup B,Mid,139761,5001+,Remote,3.0,859
HR Manager,Uber,Senior,122658,5001+,Hybrid,4.9,159
Operations Manager,Microsoft,Entry,52630,1001-5000,Hybrid,3.0,36
Machine Learning Engineer,Startup B,Senior,199050,5001+,Remote,4.4,8
UX Designer,Meta,Mid,106254,201-1000,Hybrid,3.2,37
Machine Learning Engineer,Mid-size Corp,Senior,210024,201-1000,Hybrid,3.5,29
Operations Manager,IBM,Lead,131216,5001+,On-site,5.0,24
Financial Analyst,Netflix,Senior,108294,1-50,Remote,3.9,72
Operations Manager,Amazon,Mid,79836,201-1000,On-site,3.7,30
UX Designer,IBM,Director,179245,201-1000,Hybrid,3.5,238
HR Manager,Airbnb,Entry,46376,201-1000,Remote,3.8,46
Sales Representative,Google,Mid,70643,51-200,On-site,3.1,496
Backend Developer,Airbnb,Senior,140264,51-200,On-site,4.1,324
Machine Learning Engineer,IBM,Entry,83847,51-200,Remote,3.1,15
Marketing Manager,Startup B,Director,166958,1001-5000,On-site,4.4,39
Frontend Developer,Airbnb,Director,236360,51-200,Remote,5.0,1168
Frontend Developer,Enterprise Corp,Director,199337,1001-5000,Remote,2.1,318
Machine Learning Engineer,IBM,Lead,219007,5001+,Remote,4.2,5
Product Manager,Microsoft,Entry,93615,201-1000,Hybrid,3.3,134
Marketing Manager,Oracle,Senior,131460,1001-5000,Hybrid,3.9,3
Marketing Manager,IBM,Senior,151409,5001+,Hybrid,3.3,121
Product Manager,IBM,Entry,89189,5001+,On-site,3.8,110
Financial Analyst,Mid-size Corp,Director,154347,201-1000,Hybrid,4.0,104
Financial Analyst,Google,Senior,102313,201-1000,Remote,5.0,380
Frontend Developer,Startup A,Entry,75301,1001-5000,On-site,2.7,1626
Machine Learning Engineer,Netflix,Director,264536,201-1000,Hybrid,4.3,42
Software Engineer,Uber,Entry,75418,1001-5000,On-site,4.5,186
Business Analyst,Enterprise Corp,Lead,133670,201-1000,Remote,3.3,9
Operations Manager,Mid-size Corp,Mid,81254,5001+,Remote,2.7,116
Backend Developer,Microsoft,Lead,184676,5001+,On-site,4.1,152
Data Scientist,Intel,Director,247298,1001-5000,Hybrid,3.8,26
Software Engineer,Google,Mid,128927,1001-5000,Hybrid,4.6,161
Backend Developer,Netflix,Senior,146274,201-1000,Remote,4.0,57
Product Manager,Apple,Mid,132270,51-200,On-site,2.4,52
Software Engineer,Startup A,Lead,198437,5001+,On-site,4.7,150
UX Designer,Amazon,VP,315280,1001-5000,Hybrid,3.8,2
Marketing Manager,Meta,Lead,151118,201-1000,Remote,3.2,1
DevOps Engineer,Google,Senior,143290,1001-5000,Remote,3.4,9
Frontend Developer,Airbnb,Mid,101074,5001+,Remote,1.8,85
DevOps Engineer,Netflix,Senior,158264,1-50,Hybrid,3.4,6
Data Scientist,Netflix,Senior,155643,201-1000,Hybrid,4.2,10
Frontend Developer,Apple,Senior,140377,51-200,On-site,3.7,148
Backend Developer,Google,Entry,72167,201-1000,Remote,3.2,1
Machine Learning Engineer,Salesforce,Entry,78830,1001-5000,Hybrid,3.2,69
DevOps Engineer,Microsoft,VP,328584,201-1000,Remote,3.1,1579
Sales Representative,Salesforce,Entry,48952,201-1000,Remote,3.8,123
Frontend Developer,Uber,Mid,120343,51-200,Hybrid,3.1,10
Software Engineer,Apple,Senior,153781,5001+,Hybrid,4.1,128
UX Designer,Oracle,Mid,90314,1001-5000,Remote,3.7,57
UX Designer,IBM,Director,200785,201-1000,On-site,4.0,19
Business Analyst,Oracle,Mid,94453,51-200,Remote,2.9,4
Marketing Manager,Apple,Mid,94516,1-50,Remote,5.0,27
Machine Learning Engineer,IBM,Mid,139940,51-200,On-site,2.8,162
Business Analyst,Intel,Senior,130153,5001+,Hybrid,2.9,16
Data Scientist,Netflix,Entry,71855,1-50,Hybrid,4.3,23
Frontend Developer,Intel,Mid,95010,5001+,Hybrid,4.2,36
Product Manager,Intel,Entry,82497,201-1000,On-site,3.1,19
DevOps Engineer,Uber,Mid,127827,1001-5000,Remote,5.0,491
Data Scientist,Mid-size Corp,Entry,76897,1001-5000,Remote,3.7,13
Business Analyst,Amazon,Senior,105084,201-1000,Hybrid,3.0,10
UX Designer,Netflix,Lead,182502,201-1000,On-site,4.1,19
Software Engineer,Mid-size Corp,Director,230465,1001-5000,On-site,3.3,25
Software Engineer,Microsoft,Mid,137866,1001-5000,On-site,4.1,35
Machine Learning Engineer,Oracle,Entry,80525,5001+,Hybrid,3.7,30
Machine Learning Engineer,Startup B,Entry,78250,5001+,Hybrid,4.5,27
Data Scientist,Enterprise Corp,Mid,131251,201-1000,Remote,3.2,21
DevOps Engineer,Google,Entry,71870,5001+,On-site,3.2,1
Operations Manager,Startup A,Lead,126092,5001+,Hybrid,4.2,31
Financial Analyst,Enterprise Corp,Senior,104278,201-1000,Remote,4.0,53
Frontend Developer,IBM,Entry,77350,1001-5000,On-site,2.5,1211
Operations Manager,Startup A,Entry,60656,201-1000,Hybrid,4.3,37
Backend Developer,IBM,Mid,126450,201-1000,Hybrid,3.5,15
Backend Developer,Salesforce,Lead,162541,201-1000,Remote,4.5,126
Data Scientist,Uber,Lead,223194,1-50,Remote,4.2,38
Financial Analyst,Airbnb,VP,204048,201-1000,Hybrid,3.1,110
Operations Manager,Salesforce,Mid,99970,1001-5000,Remote,3.3,178
Product Manager,Apple,Senior,190007,1-50,On-site,3.7,112
Sales Representative,Mid-size Corp,Senior,118267,51-200,Hybrid,4.2,3
Data Scientist,Intel,Lead,188984,201-1000,Remote,4.2,1
Machine Learning Engineer,IBM,Senior,169583,51-200,Remote,4.4,191
Financial Analyst,Mid-size Corp,Mid,84867,201-1000,Remote,4.0,45
Machine Learning Engineer,Amazon,Lead,203680,1001-5000,Hybrid,4.5,314
Sales Representative,Enterprise Corp,Mid,68576,5001+,Hybrid,3.1,18
DevOps Engineer,Meta,Senior,177454,5001+,Hybrid,3.2,55
Business Analyst,Amazon,Mid,89937,5001+,On-site,3.7,73
Machine Learning Engineer,IBM,Entry,83067,201-1000,Remote,4.0,652
Financial Analyst,Enterprise Corp,Lead,119831,51-200,Remote,4.7,118
DevOps Engineer,Startup B,Mid,108231,201-1000,On-site,4.1,36
DevOps Engineer,Startup B,Senior,184483,1001-5000,Remote,4.3,36
Business Analyst,Google,Entry,61276,201-1000,Remote,3.8,1
Machine Learning Engineer,Enterprise Corp,Lead,196239,1-50,Remote,4.3,68
Operations Manager,Meta,Lead,149844,51-200,Hybrid,4.3,8
Sales Representative,Amazon,Senior,97294,5001+,On-site,3.4,123
Frontend Developer,Airbnb,Mid,124645,51-200,Remote,3.8,2
Business Analyst,Amazon,Mid,81348,201-1000,Remote,3.4,9
Backend Developer,Amazon,Senior,142428,51-200,Hybrid,4.3,156
Financial Analyst,Oracle,Mid,97672,1001-5000,On-site,3.6,25
Financial Analyst,Startup A,Mid,76835,1001-5000,On-site,3.5,136
Operations Manager,Apple,Entry,50464,201-1000,On-site,3.1,198
DevOps Engineer,Uber,Mid,113334,5001+,Hybrid,2.8,74
Operations Manager,Intel,Mid,87546,51-200,Remote,3.5,60
Data Scientist,Airbnb,Senior,192169,5001+,On-site,4.6,124
Software Engineer,Amazon,Senior,166996,1001-5000,On-site,4.7,65
UX Designer,Google,Director,226364,1001-5000,Hybrid,2.4,186
Sales Representative,Mid-size Corp,Entry,53755,1-50,On-site,3.9,8
Business Analyst,Oracle,Mid,98609,201-1000,Remote,4.0,337
Backend Developer,Oracle,Senior,151195,51-200,On-site,1.5,193
Sales Representative,Intel,Mid,86123,51-200,Hybrid,4.1,46
Data Scientist,Mid-size Corp,Mid,140952,201-1000,Remote,4.1,9
Sales Representative,Microsoft,Entry,51793,5001+,On-site,2.7,44
Frontend Developer,IBM,Mid,112150,5001+,On-site,4.0,47
Machine Learning Engineer,Airbnb,Senior,183706,201-1000,On-site,2.7,11
Backend Developer,Startup A,VP,330990,51-200,Hybrid,3.2,2
Software Engineer,IBM,Entry,82555,5001+,Hybrid,3.2,13
Financial Analyst,Salesforce,Lead,127979,51-200,Remote,3.7,193
Frontend Developer,Startup B,Senior,150889,201-1000,Remote,4.0,1
Financial Analyst,Meta,Director,182282,1001-5000,Hybrid,3.7,15
Backend Developer,Mid-size Corp,Mid,98053,51-200,Remote,3.4,53
Product Manager,Google,Mid,147222,201-1000,Hybrid,4.5,7
DevOps Engineer,Salesforce,Director,253348,1001-5000,Remote,4.5,2
Software Engineer,Meta,Senior,192486,1-50,Remote,4.3,136
Frontend Developer,Meta,Senior,138956,1-50,Hybrid,3.0,94
Sales Representative,Meta,Director,171305,201-1000,Hybrid,3.7,35
Backend Developer,Netflix,Mid,129005,1-50,Hybrid,3.1,103
Backend Developer,Startup B,Mid,128303,51-200,Hybrid,5.0,53
Backend Developer,Meta,Senior,158419,1001-5000,Remote,4.7,37
UX Designer,Microsoft,Mid,111641,5001+,Remote,3.6,24
Operations Manager,Google,Senior,107188,1-50,Remote,2.8,79
DevOps Engineer,Startup B,Senior,188265,51-200,Hybrid,4.3,71
Business Analyst,Uber,Mid,83302,5001+,Remote,3.2,6
Frontend Developer,Google,Mid,125174,1-50,Remote,4.9,172
UX Designer,Oracle,Entry,75070,51-200,Hybrid,3.5,29
Software Engineer,Intel,Lead,172426,5001+,Hybrid,4.7,59
Operations Manager,Enterprise Corp,Mid,102677,1001-5000,Hybrid,2.9,12
Marketing Manager,Enterprise Corp,Mid,91068,5001+,On-site,3.7,84
Business Analyst,Startup B,Mid,93937,1001-5000,Hybrid,4.4,19
Frontend Developer,Amazon,Director,222949,1-50,Hybrid,4.4,24
DevOps Engineer,Airbnb,Mid,103630,1001-5000,On-site,4.6,9
UX Designer,Enterprise Corp,Senior,149118,201-1000,On-site,3.9,9
Machine Learning Engineer,Netflix,Mid,146582,1001-5000,Hybrid,3.7,11
Software Engineer,Uber,Director,253608,1001-5000,Hybrid,4.7,37
Frontend Developer,Salesforce,Senior,166963,201-1000,On-site,4.5,49
Product Manager,Netflix,Entry,84658,1001-5000,Hybrid,2.3,107
HR Manager,Intel,Entry,47981,5001+,Remote,3.6,43
Business Analyst,Mid-size Corp,Lead,123473,1-50,Remote,3.7,308
DevOps Engineer,Meta,Lead,196958,5001+,Hybrid,4.0,16
Machine Learning Engineer,Amazon,Director,271806,1-50,On-site,4.8,46
Financial Analyst,Enterprise Corp,Senior,124379,1001-5000,Remote,4.4,194
Sales Representative,Oracle,VP,236033,1-50,Remote,3.3,22
Operations Manager,Netflix,VP,228084,1001-5000,Hybrid,3.9,13
Software Engineer,Startup B,Entry,66812,201-1000,Hybrid,2.9,20
Machine Learning Engineer,Amazon,Lead,247802,51-200,On-site,4.1,220
Operations Manager,Google,Senior,142596,1001-5000,Hybrid,4.4,194
DevOps Engineer,Mid-size Corp,Director,250513,201-1000,Remote,3.3,196
DevOps Engineer,Enterprise Corp,Entry,83406,1001-5000,On-site,2.6,7
